Iteration,Loss,Accuracy
0,"tensor(0.3518, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.9560546875
1,"tensor(1.0342, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.644287109375
2,"tensor(0.9396, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.6533203125
3,"tensor(0.8794, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.4794921875
4,"tensor(0.5133, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.810302734375
5,"tensor(0.8902, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.714599609375
6,"tensor(0.5234, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.69384765625
7,"tensor(1.9866, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.527099609375
8,"tensor(1.9642, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.473388671875
9,"tensor(1.2151, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.62548828125
10,"tensor(0.6371, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.804931640625
11,"tensor(0.7401, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.802490234375
12,"tensor(0.9174, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.560791015625
13,"tensor(0.8254, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.58056640625
14,"tensor(0.9854, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.47705078125
15,"tensor(0.7229, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.772705078125
16,"tensor(1.0024, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.5634765625
17,"tensor(0.5544, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.788818359375
18,"tensor(0.8273, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.6708984375
19,"tensor(1.0272, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.5458984375
20,"tensor(0.6864, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.637939453125
21,"tensor(1.4549, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.429931640625
22,"tensor(0.7675, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.669921875
23,"tensor(0.8502, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.580810546875
24,"tensor(1.0733, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.3388671875
25,"tensor(0.8048, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.792724609375
26,"tensor(0.8353, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.642578125
27,"tensor(0.8964, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.709228515625
28,"tensor(0.8036, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.574462890625
29,"tensor(1.1205, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.293212890625
30,"tensor(1.0929, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.580810546875
31,"tensor(1.0139, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.505615234375
32,"tensor(1.0287, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.546875
33,"tensor(1.0357, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.50244140625
34,"tensor(0.6897, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.69921875
35,"tensor(0.7536, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.70947265625
36,"tensor(0.6632, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.771728515625
37,"tensor(1.3429, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.443603515625
38,"tensor(0.8789, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.692138671875
39,"tensor(0.7027, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.70458984375
40,"tensor(1.0599, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.44775390625
41,"tensor(0.9697, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.5048828125
42,"tensor(0.9125, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.574951171875
43,"tensor(0.9578, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.557373046875
44,"tensor(1.2668, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.59130859375
45,"tensor(0.8977, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.67041015625
46,"tensor(1.5242, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.500732421875
47,"tensor(0.7808, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.661376953125
48,"tensor(0.8758, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.713623046875
49,"tensor(0.8825, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.698974609375
50,"tensor(0.5866, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.768310546875
51,"tensor(0.8533, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.743896484375
52,"tensor(0.9974, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.4951171875
53,"tensor(0.9302, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.58056640625
54,"tensor(0.3524, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.912353515625
55,"tensor(1.4636, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.378662109375
56,"tensor(0.5231, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.808837890625
57,"tensor(0.4576, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.76806640625
58,"tensor(0.8051, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.604248046875
59,"tensor(0.6378, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.72265625
60,"tensor(1.0343, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.619384765625
61,"tensor(0.4740, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.78857421875
62,"tensor(0.8850, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.55126953125
63,"tensor(0.7749, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.63916015625
64,"tensor(0.8389, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.585205078125
65,"tensor(0.9121, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.603759765625
66,"tensor(0.7192, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.87109375
67,"tensor(0.7891, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.66796875
68,"tensor(0.6103, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.8203125
69,"tensor(1.2195, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.486083984375
70,"tensor(0.6637, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.6982421875
71,"tensor(1.1927, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.453125
72,"tensor(1.1008, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.6708984375
73,"tensor(0.5908, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.797119140625
74,"tensor(0.7901, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.574951171875
75,"tensor(1.3028, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.4287109375
76,"tensor(1.2021, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.718994140625
77,"tensor(0.5847, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.78759765625
78,"tensor(0.8590, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.63671875
79,"tensor(0.8043, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.618408203125
80,"tensor(1.1318, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.367431640625
81,"tensor(0.5415, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.89404296875
82,"tensor(0.6236, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.67626953125
83,"tensor(0.9604, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.695068359375
84,"tensor(0.9673, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.507568359375
85,"tensor(0.8575, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.5732421875
86,"tensor(0.7259, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.856201171875
87,"tensor(1.0250, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.640380859375
88,"tensor(0.6992, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.90380859375
89,"tensor(0.8392, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.670166015625
90,"tensor(0.9484, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.64111328125
91,"tensor(0.4686, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.80712890625
92,"tensor(0.5626, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.88671875
93,"tensor(0.6262, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.81298828125
94,"tensor(1.1738, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.560302734375
95,"tensor(0.6608, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.74560546875
96,"tensor(0.7304, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.823974609375
97,"tensor(0.8379, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.630615234375
98,"tensor(1.3084, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.5283203125
99,"tensor(0.8320, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.8046875
100,"tensor(0.3314, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.884521484375
101,"tensor(0.6804, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.686279296875
102,"tensor(1.1632, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.478759765625
103,"tensor(0.8609, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.439697265625
104,"tensor(1.0240, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.4990234375
105,"tensor(1.0997, device='cuda:0', grad_fn=<NllLoss2DBackward0>)",0.427978515625
